Category,Prop._SNPs,Prop._h2,Enrichment,Enrichment_p,Coefficient,Cluster_SLDSC,Cluster_num
PromoterFlanking_Hoffman.extend.500.bedL2_0,0.03536437842596492,0.06033238784441392,1.797265546614499,0.4278215207598055,-5.0361732071088026e-08,sldsc_v158,158
Promoter_UCSC.bedL2_0,0.03504136610394334,0.04675867991260571,1.8710948770379703,0.4288617173387715,-1.3283075839490757e-07,sldsc_v158,158
Promoter_UCSC.extend.500.bedL2_0,0.04348588364847378,0.08003845226117358,2.064172143959237,0.42512300962551475,9.303509224019478e-08,sldsc_v158,158
Repressed_Hoffman.bedL2_0,0.4434413723378973,0.3983744101128142,0.8545833314991323,0.44254791074921696,2.773794289227747e-08,sldsc_v158,158
Repressed_Hoffman.extend.500.bedL2_0,0.6968627142038669,0.5707091786665827,0.8182264276410085,0.3391251545642926,9.612389491774568e-11,sldsc_v158,158
SuperEnhancer_Hnisz.bedL2_0,0.17978326819157694,0.24917202219259585,1.3572259476711874,0.3364406254966657,-6.200560536261801e-08,sldsc_v158,158
SuperEnhancer_Hnisz.extend.500.bedL2_0,0.18322047750324758,0.2571489216151538,1.373158805154109,0.3033537133368476,4.636651337283502e-08,sldsc_v158,158
TFBS_ENCODE.bedL2_0,0.1387828319479167,0.2879487468493787,2.1018575948243665,0.4086885353787638,4.324653405974462e-08,sldsc_v158,158
TFBS_ENCODE.extend.500.bedL2_0,0.3542096710646849,0.45212101090825424,1.2962354135211123,0.5391282194997202,-2.654438671696691e-08,sldsc_v158,158
TSS_Hoffman.bedL2_0,0.020324686667066955,0.1001979746291454,5.211380777734877,0.44987591660120585,1.0126781478695141e-07,sldsc_v158,158
TSS_Hoffman.extend.500.bedL2_0,0.039162366630155876,0.11888223449646546,3.6127125382140917,0.34321152434885477,4.121265128470584e-08,sldsc_v158,158
Transcribed_Hoffman.bedL2_0,0.3593625556155595,0.38458598007899936,1.0539471454134584,0.5498266421759509,1.3254423399229458e-08,sldsc_v158,158
Transcribed_Hoffman.extend.500.bedL2_0,0.7680621141831406,0.7799844222211239,1.0169041943909962,0.48712983969907847,1.195667326649516e-08,sldsc_v158,158
UTR_3_UCSC.bedL2_0,0.012507297801211055,0.06302614749133567,5.2358840513164715,0.4071278157022093,2.3501198148120632e-07,sldsc_v158,158
UTR_3_UCSC.extend.500.bedL2_0,0.029809597189937462,0.08381555542435377,2.6964633867850782,0.37212165401603164,-2.849675242931037e-08,sldsc_v158,158
UTR_5_UCSC.bedL2_0,0.0061434685560018,0.02356170872657024,3.356919993311465,0.5447314000369513,-4.019659904521597e-08,sldsc_v158,158
UTR_5_UCSC.extend.500.bedL2_0,0.03022371259984493,0.09103856364575948,3.412573014721304,0.3755932983180358,9.552966166046029e-08,sldsc_v158,158
WeakEnhancer_Hoffman.bedL2_0,0.022830254868821568,0.03391421136594105,1.5912901378368458,0.4525213119938263,-9.958229361751276e-08,sldsc_v158,158
WeakEnhancer_Hoffman.extend.500.bedL2_0,0.09579713534942313,0.19958777178917464,2.116263954269564,0.43148843952563193,7.779601264887463e-08,sldsc_v158,158
baseL2_0,1.0,0.9999999999999999,0.9999999999999999,,-1.9297010540758156e-08,sldsc_v158,158
CTCF_Hoffman.bedL2_0,0.025340469692189074,-0.012845141961228474,-0.6601312989757074,0.5004733279808264,-1.551640700370406e-07,sldsc_v159,159
CTCF_Hoffman.extend.500.bedL2_0,0.07524070256931667,0.08025059149782131,1.0117755420037244,0.48399083051900676,4.2083942808809556e-08,sldsc_v159,159
Coding_UCSC.bedL2_0,0.015989750474149925,0.08440639113831704,5.1738657717060255,0.4464410299972702,7.913267744103344e-08,sldsc_v159,159
Coding_UCSC.extend.500.bedL2_0,0.07047274473805283,0.15227299721822926,2.199437036951194,0.4699244082433918,-5.5947431834362936e-08,sldsc_v159,159
Conserved_LindbladToh.bedL2_0,0.02568411716520341,0.3123691841886235,12.152893138430313,0.0815409780275799,5.984353923884301e-07,sldsc_v159,159
Conserved_LindbladToh.extend.500.bedL2_0,0.3308069573919402,0.7106338437313814,2.1456923110650625,0.052934457621059965,3.879948915617079e-08,sldsc_v159,159
DGF_ENCODE.bedL2_0,0.14043687146115932,0.29831064024070664,2.2084206221554425,0.3894617071129425,7.567547776897902e-08,sldsc_v159,159
DGF_ENCODE.extend.500.bedL2_0,0.5482775388825766,0.6328453381445368,1.1587350597444923,0.34350358525035785,-3.421266193267004e-08,sldsc_v159,159
DHS_Trynka.bedL2_0,0.1687533989060883,0.31662177512046746,1.9007603571890401,0.5206920895721171,-4.2845779736450226e-08,sldsc_v159,159
DHS_Trynka.extend.500.bedL2_0,0.5021191491336977,0.7369974241064849,1.478982265024217,0.3151922885112239,4.2417853681901974e-08,sldsc_v159,159
DHS_peaks_Trynka.bedL2_0,0.11264537054440811,0.1808748780354148,1.5757549807259301,0.6518936224463125,-1.4348212805289075e-07,sldsc_v159,159
Enhancer_Andersson.bedL2_0,0.004670442694538236,-0.0073890171406830185,-1.4864387244675854,0.41567678370595645,-2.8443478108103103e-07,sldsc_v159,159
Enhancer_Andersson.extend.500.bedL2_0,0.02043514507041183,0.01630936445266938,0.748411687334274,0.46149567279952347,-1.8856132387692998e-08,sldsc_v159,159
Enhancer_Hoffman.bedL2_0,0.04493157127923169,0.04297798456755248,1.0900346080873933,0.5320838296605451,-9.777587857212223e-08,sldsc_v159,159
Enhancer_Hoffman.extend.500.bedL2_0,0.09646265048000253,0.1206234434961484,1.292043597505935,0.5219675998628345,-2.5085558255095343e-08,sldsc_v159,159
FetalDHS_Trynka.bedL2_0,0.08630472356686913,0.3002178496578241,3.393936323245414,0.3881505010313431,1.544853854358253e-07,sldsc_v159,159
FetalDHS_Trynka.extend.500.bedL2_0,0.2900803217450267,0.5609345179204435,1.96770492794614,0.2539466783510606,1.0056062869531508e-08,sldsc_v159,159
H3K27ac_Hnisz.bedL2_0,0.4070893541044032,0.5460316942977642,1.3416615357717472,0.24239883561371212,6.6024098669439355e-09,sldsc_v159,159
H3K27ac_Hnisz.extend.500.bedL2_0,0.4385802732530907,0.5767341008185534,1.3235716258679,0.32778124752650123,-1.141611011523084e-08,sldsc_v159,159
H3K27ac_PGC2.bedL2_0,0.2806064917691301,0.4348489048787627,1.5579025695565447,0.3775171937571224,-3.7176240045331045e-08,sldsc_v159,159
H3K27ac_PGC2.extend.500.bedL2_0,0.3491511107340045,0.5529857149158374,1.5924954838644874,0.30037531530587547,5.7541781509310674e-08,sldsc_v159,159
H3K4me1_Trynka.bedL2_0,0.4388719775440371,0.6575058965434094,1.516688259750702,0.27943395464766746,-5.596055529940169e-09,sldsc_v159,159
H3K4me1_Trynka.extend.500.bedL2_0,0.6209626874260189,0.8016708667200192,1.29797016772738,0.26862322768079017,-1.9997172016357816e-09,sldsc_v159,159
H3K4me1_peaks_Trynka.bedL2_0,0.17673323933007987,0.4201902929574839,2.3918021528114966,0.3928059891816224,4.7738841377522056e-08,sldsc_v159,159
H3K4me3_Trynka.bedL2_0,0.14331090973753033,0.36249847246457007,2.4968269813753463,0.3959735054179266,3.156997008786348e-08,sldsc_v159,159
H3K4me3_Trynka.extend.500.bedL2_0,0.27142771453488906,0.4031474974134701,1.5062058167289507,0.43247728437078375,-3.9959299364021296e-08,sldsc_v159,159
H3K4me3_peaks_Trynka.bedL2_0,0.044931534763474335,0.18589148187665516,4.68789477480619,0.415420450861225,1.2026302549034892e-07,sldsc_v159,159
H3K9ac_Trynka.bedL2_0,0.13675069231218331,0.31774281045677205,2.3700821096577727,0.30155698983915563,-4.6191555144067885e-08,sldsc_v159,159
H3K9ac_Trynka.extend.500.bedL2_0,0.2489194845425615,0.4536299990503401,1.8193839035061528,0.24792175349691273,1.6144889085951627e-08,sldsc_v159,159
H3K9ac_peaks_Trynka.bedL2_0,0.042520972158441764,0.21604498128769878,5.307370142618972,0.2828432051584894,2.1336334432057508e-07,sldsc_v159,159
Intron_UCSC.bedL2_0,0.3947879394954932,0.5235969111556853,1.3293142834452698,0.23043075585504288,3.173046960147735e-07,sldsc_v159,159
Intron_UCSC.extend.500.bedL2_0,0.4054135335185732,0.5568206597365253,1.3747518705513526,0.14251629711802624,-2.966597539251555e-07,sldsc_v159,159
L2_1,0.13411196673072484,0.17575161483822718,1.3124827340492355,0.4319472721422532,8.60454812043847e-09,sldsc_v159,159
PromoterFlanking_Hoffman.bedL2_0,0.008692650791795391,0.03510097284380684,3.667931503794557,0.5550496799478369,1.0664880511155614e-07,sldsc_v159,159
PromoterFlanking_Hoffman.extend.500.bedL2_0,0.03536437842596492,0.0594725829628139,1.7758049949690586,0.4153502568955913,-4.899458583464502e-08,sldsc_v159,159
Promoter_UCSC.bedL2_0,0.03504136610394334,0.045568163806998775,1.8145999104300754,0.42285827559433076,-1.1172084227053136e-07,sldsc_v159,159
Promoter_UCSC.extend.500.bedL2_0,0.04348588364847378,0.07549946737756458,1.9345989354491744,0.432685349257086,6.941964077436606e-08,sldsc_v159,159
Repressed_Hoffman.bedL2_0,0.4434413723378973,0.40947041783969707,0.8789624377945416,0.425998825079389,3.073748589623855e-08,sldsc_v159,159
Repressed_Hoffman.extend.500.bedL2_0,0.6968627142038669,0.5751336906311519,0.824824520554703,0.34033929545964087,-1.6827985476348706e-09,sldsc_v159,159
